Location,Burrito,Neighborhood,Chips,Cost,Hunger,Mass (g),Density (g/mL),Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Unreliable,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Queso,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini
Chipotle,Carnitas,Carlsbad,,7.15,4,,,2.5,2.5,3,2.8,2.5,3.5,,3,3.5,2.75,,,X,,,,X,X,,,,X,X,,,X,,,,,,,,,,,,,,,,,,,X,
Colima's Mexican Food,Bandido,North park,,6.49,4.5,,,3,5,4,4,5,4,2.5,4.5,4,4,,x,,,,,,,,,,x,x,,,,,,x,,,,,,,x,,,,,,,,,,
Colima's Mexican Food,Bandido,North park,,6.49,4.5,,,3,4.5,3.5,3.5,3.5,3,3,3,4,3,,x,,,,,,,,,,x,x,,,,,,x,,,,,,,x,,,,,,,,,,
Colima's Mexican Food,Hawaiian,North park,,6.29,3.5,,,3.5,5,4,4,3.5,4.5,3.5,3.5,4,4,,,,,x,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,
Cortez Mexican Food,California ,Bonsall,,6.25,4,,,3.5,4,2.5,3,1.5,2.5,2.5,2.8,5,3.2,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don Carlos Taco Shop,California,La Jolla,,7.75,5,,,3.5,4.2,3.3,3.7,4,4,2.9,3,5,3.7,,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don Carlos Taco Shop,California,La Jolla,,7.75,2.5,,,4,4,2.6,3.6,4,4,3.6,4,4,2.9,,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donato's Taco Shop,Al pastor ,Miramar,,5.99,4,,,3,4.5,3.7,2.8,5,4.5,3,2.3,4.5,3,,,X,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donato's taco shop,California ,Miramar,,6.49,3,,,3,5,3,3.5,4,4,4,4,4,3.8,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donato's Taco Shop,Carne asada,Miramar,,5.99,2,,,2,4,4.5,4,4,3,4,4,2,4,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
